Date,Open,High,Low,Close,Adj Close,Volume
1987-11-01,0.345982,0.357143,0.272321,0.294643,0.231594,4234238400
1987-12-01,0.299107,0.390625,0.265625,0.375000,0.295398,4702264000
1988-01-01,0.381696,0.412946,0.341518,0.370536,0.291882,6221600000
1988-02-01,0.372768,0.390625,0.337054,0.383929,0.302432,3368467200
1988-03-01,0.386161,0.426339,0.345982,0.357143,0.281887,4882102400
1988-04-01,0.354911,0.378348,0.343750,0.366071,0.288933,3297929600
1988-05-01,0.363839,0.385045,0.333705,0.370536,0.292458,2638507200
1988-06-01,0.370536,0.417411,0.368304,0.412946,0.326576,3534731200
1988-07-01,0.415179,0.424107,0.377232,0.396205,0.313336,2186419200
1988-08-01,0.397321,0.408482,0.350446,0.356027,0.281562,2653313600
1988-09-01,0.354911,0.395089,0.337054,0.386161,0.305969,3060321600
1988-10-01,0.383929,0.386161,0.334821,0.344866,0.273249,3563649600
1988-11-01,0.343750,0.354911,0.316964,0.335938,0.266175,2939865600
1988-12-01,0.337054,0.375000,0.334821,0.359375,0.285497,2946070400
1989-01-01,0.359375,0.392857,0.323661,0.337054,0.267764,7345833600
1989-02-01,0.337054,0.359375,0.314732,0.323661,0.257125,4886268800
1989-03-01,0.323661,0.325893,0.299107,0.318080,0.253388,3859676800
1989-04-01,0.316964,0.371652,0.302455,0.348214,0.277393,3966424000
1989-05-01,0.343750,0.437500,0.343750,0.426339,0.339629,5253382400
1989-06-01,0.426339,0.448661,0.352679,0.368304,0.294040,3941280000
1989-07-01,0.372768,0.375000,0.337054,0.354911,0.283347,3688630400
1989-08-01,0.354911,0.408482,0.350446,0.397321,0.317206,3352305600
1989-09-01,0.397321,0.417411,0.383929,0.397321,0.317959,2020849600
1989-10-01,0.397321,0.449777,0.379464,0.415179,0.332250,4125049600
1989-11-01,0.412946,0.421875,0.379464,0.395089,0.316172,2524939200
1989-12-01,0.397321,0.408482,0.290179,0.314732,0.252487,5941185600
1990-01-01,0.314732,0.345982,0.286830,0.303571,0.243533,3747497600
1990-02-01,0.308036,0.314732,0.287946,0.303571,0.243533,2483891200
1990-03-01,0.299107,0.387277,0.296875,0.359375,0.289229,4556473600
1990-04-01,0.357143,0.395089,0.340402,0.351563,0.282942,3642475200
1990-05-01,0.354911,0.381696,0.345982,0.368304,0.296415,4115630400
1990-06-01,0.369420,0.400670,0.334821,0.399554,0.322458,3952054400
1990-07-01,0.397321,0.426339,0.357143,0.375000,0.302642,4163812800
1990-08-01,0.375000,0.390625,0.299107,0.330357,0.266613,3128339200
1990-09-01,0.325893,0.334821,0.243304,0.258929,0.209599,2206948800
1990-10-01,0.263393,0.285714,0.216518,0.274554,0.222247,5056116800
1990-11-01,0.272321,0.343750,0.265625,0.328125,0.265612,3254608000
1990-12-01,0.332589,0.404018,0.330357,0.383929,0.311824,4094092800
1991-01-01,0.381696,0.500000,0.375000,0.495536,0.402470,7037307200
1991-02-01,0.495536,0.555804,0.488839,0.511161,0.415160,5545780800
1991-03-01,0.508929,0.627232,0.508929,0.607143,0.494154,5210598400
1991-04-01,0.607143,0.654018,0.486607,0.491071,0.399682,7243051200
1991-05-01,0.428571,0.479911,0.392857,0.419643,0.341547,7972843200
1991-06-01,0.419643,0.441964,0.359375,0.370536,0.302351,4091662400
1991-07-01,0.377232,0.430804,0.372768,0.412946,0.336957,3783494400
1991-08-01,0.410714,0.495536,0.408482,0.473214,0.386134,4172649600
1991-09-01,0.470982,0.477679,0.415179,0.441964,0.361449,2393070400
1991-10-01,0.439732,0.502232,0.415179,0.459821,0.376053,3593990400
